Scores,Scores Info
-65715.0,200
-3955.0,1400
-550.0,100
1940.0,2400
725.0,400
-6175.0,800
-3835.0,100
-105.0,400
-4360.0,200
-1175.0,200
-700.0,400
210.0,600
650.0,1600
285.0,600
-290.0,800
30.0,1100
420.0,300
-20.0,300
365.0,1600
-355.0,600
-510.0,700
-515.0,600
-350.0,700
-12585.0,700
-315.0,700
-190.0,800
-410.0,800
-660.0,400
-46405.0,1300
-68025.0,500
-79690.0,0
-76450.0,0
-74485.0,0
-73335.0,0
-72880.0,0
-74605.0,0
-77770.0,0
-45105.0,200
-36850.0,200
-47575.0,200
-46025.0,200
-47515.0,200
-70555.0,0
-76405.0,0
-77335.0,0
-90705.0,0
-25360.0,300
-74665.0,0
-42800.0,200
-72055.0,0
-31625.0,500
-76995.0,0
-56495.0,200
-73700.0,0
-74815.0,0
-28950.0,200
-72845.0,0
-73725.0,0
-75350.0,0
-76020.0,0
-36085.0,200
-84610.0,0
-52265.0,100
-76455.0,0
-74685.0,0
-71765.0,0
-52935.0,200
-74940.0,0
-74500.0,0
-70245.0,0
-65090.0,300
-41505.0,500
-120.0,1300
-7270.0,1100
-87095.0,0
-66180.0,0
-39410.0,200
-53460.0,200
-8035.0,700
-5800.0,500
-19045.0,500
-77070.0,0
-73785.0,700
-75775.0,0
-47270.0,200
-60670.0,0
-61580.0,0
-80050.0,0
-84485.0,0
-42720.0,200
-86550.0,0
-38935.0,200
-58925.0,300
-76515.0,0
-50225.0,300
-74680.0,400
-88365.0,0
-78875.0,0
-51785.0,200
-76860.0,0
-49110.0,800
-79865.0,0
-75290.0,0
-77005.0,0
-75635.0,0
-82365.0,0
-81865.0,0
-76070.0,0
-79335.0,0
-81205.0,0
-80170.0,0
-27490.0,200
-82640.0,0
-76000.0,0
-69035.0,0
-75425.0,0
-77830.0,0
-51785.0,300
-85395.0,0
-52755.0,200
-81550.0,0
-23695.0,200
-71450.0,0
-35335.0,200
-80075.0,0
-40595.0,200
-47590.0,300
-47300.0,200
-87885.0,0
-85005.0,0
-36955.0,200
-81520.0,0
-76380.0,0
-2525.0,300
-76580.0,0
-44290.0,200
-40550.0,400
-80490.0,0
-74060.0,0
-80255.0,0
-60995.0,600
1545.0,2000
1200.0,1500
-4300.0,400
-865.0,900
-1075.0,200
-5785.0,200
-235.0,1100
-945.0,400
-30370.0,200
-17385.0,700
-880.0,300
-180.0,900
750.0,1400
-4025.0,100
595.0,1700
-625.0,300
-4255.0,1600
-405.0,600
940.0,1200
330.0,800
-720.0,400
660.0,1000
-7420.0,400
1060.0,700
1010.0,2300
-435.0,1000
1010.0,900
-550.0,500
-15370.0,400
-855.0,500
-64745.0,400
-19150.0,700
230.0,1200
-15350.0,400
-51880.0,100
-10315.0,3500
-18260.0,1600
-8560.0,1700
-9745.0,300
315.0,600
-2880.0,1100
670.0,1000
-930.0,400
-5660.0,500
90.0,600
-1185.0,600
-8620.0,1100
-405.0,100
-23700.0,2400
-12865.0,700
-22775.0,600
-75750.0,0
-55995.0,500
-170.0,800
-12025.0,2200
-94205.0,300
